Loop ID;Module;Function Name;Source Info;Level;Time %;Time (s);CPI ratio;
78;binary;void ForceLJ::compute_halfneigh_threaded<0, 1>(Atom&, Neighbor&, int);force_lj.cpp:308-332;InBetween;32.05;11.10;1.07;
80;binary;void ForceLJ::compute_halfneigh_threaded<0, 1>(Atom&, Neighbor&, int);force_lj.cpp:330-330;Innermost;16.11;5.58;1.82;
81;binary;void ForceLJ::compute_halfneigh_threaded<0, 1>(Atom&, Neighbor&, int);force_lj.cpp:332-332;Innermost;14.76;5.11;1.82;
79;binary;void ForceLJ::compute_halfneigh_threaded<0, 1>(Atom&, Neighbor&, int);force_lj.cpp:328-328;Innermost;14.76;5.11;0.57;
159;binary;Neighbor::build(Atom&);neighbor.cpp:168-179;Innermost;9.38;3.25;0.62;
14;binary;Integrate::initialIntegrate();integrate.cpp:50-55;Single;2.08;0.72;3.11;
15;binary;Integrate::finalIntegrate();integrate.cpp:63-65;Single;1.39;0.48;3.87;
75;binary;void ForceLJ::compute_halfneigh_threaded<0, 1>(Atom&, Neighbor&, int);force_lj.cpp:346-346;Innermost;1.22;0.42;3.75;
82;binary;void ForceLJ::compute_halfneigh_threaded<0, 1>(Atom&, Neighbor&, int);force_lj.cpp:288-290;Single;0.96;0.33;9.45;
76;binary;void ForceLJ::compute_halfneigh_threaded<0, 1>(Atom&, Neighbor&, int);force_lj.cpp:348-348;Innermost;0.78;0.27;2.96;
42;binary;void ForceLJ::compute_halfneigh_threaded<1, 1>(Atom&, Neighbor&, int);force_lj.cpp:308-338;InBetween;0.74;0.26;0.73;
157;binary;Neighbor::build(Atom&);neighbor.cpp:144-179;InBetween;0.74;0.26;0.66;
77;binary;void ForceLJ::compute_halfneigh_threaded<0, 1>(Atom&, Neighbor&, int);force_lj.cpp:298-348;Outermost;0.52;0.18;7.66;
43;binary;void ForceLJ::compute_halfneigh_threaded<1, 1>(Atom&, Neighbor&, int);force_lj.cpp:328-328;Innermost;0.43;0.15;1.64;
74;binary;void ForceLJ::compute_halfneigh_threaded<0, 1>(Atom&, Neighbor&, int);force_lj.cpp:344-344;Innermost;0.39;0.14;0.59;
44;binary;void ForceLJ::compute_halfneigh_threaded<1, 1>(Atom&, Neighbor&, int);force_lj.cpp:330-330;Innermost;0.30;0.11;1.87;
158;binary;Neighbor::build(Atom&);neighbor.cpp:150-165;Innermost;0.30;0.11;0.70;
21;binary;Atom::pack_comm(int, int*, double*, int*);atom.cpp:153-155;Single;0.26;0.09;4.07;
45;binary;void ForceLJ::compute_halfneigh_threaded<1, 1>(Atom&, Neighbor&, int);force_lj.cpp:332-332;Innermost;0.26;0.09;1.36;
209;binary;Comm::borders(Atom&);comm.cpp:824-830;Innermost;0.22;0.08;4.05;
24;binary;Atom::pack_reverse(int, int, double*);atom.cpp:178-180;Single;0.13;0.05;3.72;
154;binary;Neighbor::binatoms(Atom&, int);neighbor.cpp:239-299;Innermost;0.13;0.05;0.73;
27;binary;Atom::sort(Neighbor&);atom.cpp:394-403;Innermost;0.13;0.05;4.21;
25;binary;Atom::unpack_reverse(int, int*, double*);atom.cpp:191-193;Single;0.13;0.05;1.58;
156;binary;Neighbor::build(Atom&);neighbor.cpp:128-299;InBetween;0.09;0.03;0.64;
20;binary;Atom::pbc();atom.cpp:110-120;Single;0.09;0.03;3.01;
23;binary;Atom::unpack_comm(int, int, double*);atom.cpp:166-168;Single;0.09;0.03;2.63;
40;binary;void ForceLJ::compute_halfneigh_threaded<1, 1>(Atom&, Neighbor&, int);force_lj.cpp:348-348;Innermost;0.04;0.02;3.51;
26;binary;Atom::sort(Neighbor&);atom.cpp:392-403;Outermost;0.04;0.02;4.21;
46;binary;void ForceLJ::compute_halfneigh_threaded<1, 1>(Atom&, Neighbor&, int);force_lj.cpp:288-290;Single;0.04;0.02;21.05;
